studentID,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
52,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0
53,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
54,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1
55,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1
56,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
57,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1
58,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
59,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0
60,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0
61,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1
62,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0
63,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1
64,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1
65,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1
66,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1
67,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1
68,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
69,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1
70,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1
71,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1
72,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1
73,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1
74,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1
75,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1
